Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
bolt,bolt,Cold,insurance,370,insurance,,http://www.bolttech.io,http://www.linkedin.com/company/-bolt,https://facebook.com/BOLTInsurance,https://twitter.com/boltinsurance,3721 Executive Center Dr,Austin,Texas,United States,78731,"3721 Executive Center Dr, Austin, Texas, United States, 78731","insurance software, insurance technology, p, c insurance solution, commercial insurance, personal insurance, online insurance platform, digital insurance platform, insurance distribution platform",'+1 800-216-4171,bolttech's globally scaled embedded insurance platform enables any business to expand their distribution capabilities to offer personalized insurance products at the point of need in any customer journey.,"Route 53, SMTP.com, Constant Contact, SendInBlue, Outlook, MailChimp SPF, Microsoft Office 365, Amazon AWS, Cloudflare DNS, Mailchimp Mandrill, Google Cloud Hosting, Microsoft Azure Hosting, CloudFlare CDN, Pardot, CloudFlare Hosting, WP Engine, Netlify, Drift, React, Hubspot, Salesforce, Adobe Marketing Cloud, Microsoft Application Insights, Atlassian Cloud, OneTrust, DigitalOcean, MongoDB, CallRail, DoubleClick Conversion, Twitter Advertising, Google Tag Manager, WordPress.org, Google Maps (Non Paid Users), Linkedin Marketing Solutions, Bootstrap Framework, Facebook Login (Connect), DoubleClick, Google Dynamic Remarketing, Google Font API, Facebook Custom Audiences, LivePerson Monitor, Trustpilot, Facebook Widget, Hotjar, LiveRamp, Google Maps, Bing Ads, Google Analytics, Mobile Friendly, YouTube, Nginx, GoDaddy Verified, ASP.NET, Highcharts JS Library, Visual Website Optimizer, Multilingual, Remote, Centro, , AI",493200000,Series B,50000000,2023-09-01,277500000,,675e57daca1e7a01b07c95bb,"6331, 6321","bolt is the leading distribution platform for P&C insurance, connecting insurers, distributors and customers to transform the way insurance is bought and sold. 
The result is the world's largest technology-enabled marketplace of insurance products from more than 100 providers including two-thirds of America's leading insurers. Across all 50 states, bolt is helping businesses of all kinds distribute insurance, expand market reach, and meet more of the insurance and protection needs of our customers.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/674d601a5f3328000119a059/picture
NHBC,NHBC,Cold,insurance,1300,insurance,,http://www.nhbc.co.uk,http://www.linkedin.com/company/nhbc,https://facebook.com/pages/NHBC/155732237782515,https://twitter.com/NHBC,,,Connecticut,United States,,"Connecticut, United States","new homes warranty, building standards, building control, construction consultancy & services, building regulations, sustainability services, training courses, apprenticeships, nvqs",'+44 87 0241 4302,,"UK Fast Hosting, Microsoft Office 365, Microsoft Azure Hosting, Linkedin Marketing Solutions, Mobile Friendly, Cloudinary, Confirmit, Facebook Custom Audiences, Bing Ads, Vimeo, YouTube, Google Analytics, Facebook Login (Connect), Facebook Widget, Google Tag Manager, iCIMS, WordPress.org, AI",,,,,458000,,675e57daca1e7a01b07c95c2,6411,"We are the UK's leading independent provider of warranty and insurance for new homes. With over 80 years' experience, we are recognised by homeowners and trusted by builders and all major lenders.
Our purpose is to build confidence in the construction quality of new homes by assessing, inspecting and directly insuring new homes registered with us.
We use our unrivalled expertise, data and training services to support our registered customers to improve the construction quality of new homes and provide insurance protection for the homeowners that live in them.",1936,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6740208ed9371800014ed9f8/picture
Hagerty,Hagerty,Cold,insurance,1600,insurance,,http://www.hagerty.com,http://www.linkedin.com/company/hagertycars,https://www.facebook.com/Hagerty,https://twitter.com/Hagerty,121 Rivers Edge Dr,Traverse City,Michigan,United States,49684-4200,"121 Rivers Edge Dr, Traverse City, Michigan, United States, 49684-4200","collector car valuation, collector motorcycle insurance, motorsports insurance, collector car insurance, classic boat insurance, international coverage, business insurance, private client services, hagerty magazine, digital articles, videos, roadside assistance, car auction coverage, car hobby support, media, events, membership programs, impact, leadership",'+1 800-922-4050,"With insurance for classic cars, boats, motorcycles, and more, Hagerty was built to protect your collectibles as if they were our own. Join today!","Salesforce, Route 53, Constant Contact, Outlook, Amazon AWS, Adobe Marketing Cloud, Atlassian Cloud, Zapier, GitHub Hosting, Webflow, ExactTarget",996500000,Other,80000000,2023-06-01,787590000,,675e5ba8efe88301b21593f3,6411,"Hagerty was built by people who love cars. We began as a niche insurance agency offering coverage for collector cars. We are now a global automotive enthusiast brand and the world's largest membership organization for car lovers. It's all driven by our love for cars.

Our purpose is saving driving. We exist to fuel car culture and ultimately save driving for future generations. Our mission is building a global business to fund our purpose, create a space where team members thrive; and drive positive impact throughout the world.

Driving is who we are. Hagerty offers integrated membership products and programs with unique experiences that bring together automotive enthusiasts across the globe. We connect people who love cars through our Hagerty Drivers Club (620,000+ members), entertainment and events such as the Greenwich Concours d'Elegance, The Amelia, The Detroit Concours, Motorlux and the California Mille, as well as valuation capabilities, Hagerty Marketplace, Hagerty Media, and Garage + Social.

Hagerty is always looking for talented new team members to help us drive forward. If our purpose, mission and beliefs resonate with you, let's talk about getting you behind the wheel.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67540958686cc9000147c238/picture
Acuity Insurance,Acuity Insurance,Cold,insurance,1600,insurance,,http://www.acuity.com,http://www.linkedin.com/company/acuity-insurance,https://www.facebook.com/AcuityInsuranceCompany,https://twitter.com/acuityinsurance,2800 South Taylor Drive,Sheboygan,Wisconsin,United States,53081,"2800 South Taylor Drive, Sheboygan, Wisconsin, United States, 53081","insurance, home insurance, business insurance, auto insurance, workers compensation",'+1 920-458-9131,"Explore home, auto, and business insurance options from a top-rated company. Find personalized service for you, your family, and your business. Get a quote or find an agent today.","Mailchimp Mandrill, VueJS, Citrix NetScaler, Salesforce, Yahoo Ad Manager Plus, Typekit, Facebook Login (Connect), TribalFusion, Google Maps, RocketFuel, Zencoder, Google Analytics, Google Play, Bing Ads, Mobile Friendly, UltiPro, Apache, Facebook Widget, Facebook Custom Audiences, Brightcove, Bootstrap Framework, Yahoo Analytics, DoubleClick Floodlight, Trustpilot, Vimeo, Cedexis Radar, Adobe Media Optimizer, Google Tag Manager, LivePerson Monitor, YouTube",,,,,2600000000,,675e5ba8efe88301b21593f6,"6321, 6199","Acuity Insurance, headquartered in Sheboygan, Wisconsin, is a property and casualty insurer that is recognized as a top regional insurance carrier. Operating in 32 states, Acuity is trusted to protect over 125,000 businesses, including 300,000 commercial vehicles, and over 500,000 homes and vehicles. Acuity writes over $3 billion in premium through 30,000+ independent agents, manages over $7+ billion in assets, and is rated A+ by both A.M. Best and Standard & Poor's for financial strength. With 97% positive claims experience based on 2024 insured/claimant surveys, Acuity maintains a reputation for service excellence and innovative products. Named a top employer in insurance by Forbes & Glassdoor, Acuity employs 1,700+ people.",1925,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6752d8973480dd0001865f17/picture
QBE North America,QBE North America,Cold,insurance,1900,insurance,,,http://www.linkedin.com/company/qbe-north-america,https://www.facebook.com/QBEInsuranceAustralia,https://twitter.com/QBEaus,,New York,New York,United States,10041,"New York, New York, United States, 10041","insurance & reinsurance, program business, commercial lines, personal lines, property, casualty, specialty insurance, crop, aviation, cyber, healthcare, accident, health, transactional liability, management liability, professional liability, reinsurance",133723,We’ve been awarded Finder's best-rated national Car Insurance Brand for Customer Satisfaction in 2021/2022. Get a car insurance quote online today.,,,,,,,,675e5ba8efe88301b21593f8,,,1991,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675bd026a63ec00001892f22/picture
Foremost Insurance,Foremost Insurance,Cold,insurance,540,insurance,,http://www.foremost.com,http://www.linkedin.com/company/foremost-insurance,https://www.facebook.com/ForemostInsurance/,https://twitter.com/foremost,5600 Beechtree Ln SE,Caledonia,Michigan,United States,49316-9587,"5600 Beechtree Ln SE, Caledonia, Michigan, United States, 49316-9587","property insurance, auto insurance, recreational vehicle insurance, motorcycle insurance, financial services, insurance, professional services",'+1 800-532-4221,"Expert tips and fun facts on protecting your car, home, motorcycle or RV from Foremost Insurance.","Microsoft Office 365, Atlassian Cloud, Salesforce Live Agent, Salesforce, Google Tag Manager, ASP.NET, Google Analytics, Mixpanel, Microsoft-IIS, Incapsula, SOASTA, Stripe, Mobile Friendly, FullStory, Bootstrap Framework, Vimeo, Wistia, Google Font API, Qualtrics, Segment.io, Open AdStream (Appnexus), AppDynamics",,,,,250000000,4,675e5c8f78d7a801b0bcc2f7,6321,"At Foremost® – A Farmers Insurance® Company we're focused on providing A Better Insurance Experience® to all our customers. Foremost has been an insurance industry leader since 1952, and today we offer a well-rounded suite of personal lines insurance designed for your household, including our premier Foremost Signature℠ Auto & Home programs, the multi-faceted Foremost Choice® Property & Casualty programs, and our non-standard Auto Insurance product (branded Bristol West®). Foremost is a single-source brand for nearly all your personal lines insurance requests, with flexible payment plans, numerous discounts, and every policy includes claim service with 24/7 access and award-winning, distinctive service. 

Links to third party websites are provided for your convenience only. Foremost has not independently verified any of the information provided therein and makes no representations whatsoever about any of the content on such third party sites.",1952,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/674397a19fcdb700019a89a8/picture
Independence Pet Group,Independence Pet Group,Cold,insurance,790,insurance,,http://www.independencepetgroup.com,http://www.linkedin.com/company/independence-pet-group,,,11333 S Avenue N,Chicago,Illinois,United States,60617-7145,"11333 S Avenue N, Chicago, Illinois, United States, 60617-7145","pet products, pet services, pet insurance",'+1 602-834-0792,"Independence Pet Group is a leading full-stack pet insurance platform offering underwriting, marketing, administration, turnkey partner solutions, and consumer-facing insurance products.","Outlook, Microsoft Office 365, Microsoft Azure Hosting, Sendgrid, WordPress.org, Mobile Friendly, Workday Recruit, Google Analytics, Google Font API, Bootstrap Framework, Google Tag Manager, AI, Android, IoT, Remote, SharePoint, Flutter, Python, Node.js",,,,,,,675e5c8f78d7a801b0bcc2fb,,"Independence Pet Group (IPG), a subsidiary of IPH, is one of North America's largest pet insurance and services organizations. Our impressive family of brands (Figo, Felix, ASPCA Pet Health Insurance, Pets Plus Us, and AKC Pet Insurance) supports insurance for more than 1,000,000 pets in the U.S. and Canada and provides well-being, safety, resources, and business solutions to the pet industry, including microchip identification and an online pet registry.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6752cc94fe524c00019bd626/picture
West Bend Insurance Company,West Bend Insurance Company,Cold,insurance,1500,insurance,,http://www.thesilverlining.com,http://www.linkedin.com/company/west-bend-insurance-company,https://www.facebook.com/135899469764690,https://twitter.com/WBsilverlining,1900 S 18th Ave,West Bend,Wisconsin,United States,53095,"1900 S 18th Ave, West Bend, Wisconsin, United States, 53095","property & casualty insurance, workers compensation insurance, surety bonds",'+1 262-334-5571,"West Bend provides insurance coverage for business, workers' compensation, and personal. Explore our coverages today and find an agent!","Outlook, Microsoft Office 365, Microsoft Azure Hosting, Amazon AWS, Hubspot, DoubleClick, Mobile Friendly, Quantcast, DoubleClick Conversion, Google AdWords Conversion, Facebook Custom Audiences, Google Dynamic Remarketing, Google Analytics, Twitter Advertising, Linkedin Login, Google Maps, Bing Ads, Hotjar, Facebook Widget, Facebook Like Button, YouTube, Google Tag Manager, Google Font API, Linkedin Marketing Solutions, Facebook Login (Connect), Linkedin Widget, Remote",,,,,1865775000,,675e5c8f78d7a801b0bcc2fd,6321,"For more than 130 years, West Bend has been a trusted provider of insurance products, serving the diverse needs of business, home, and automobile owners. This reputation for excellence is recognized not only by our policyholders, but by the insurance industry itself. West Bend has been rated A (Excellent) or better by A.M. Best since 1971. West Bend is also consistently ranked at the top by thousands of insurance agents nationwide in an ease-of-doing-business survey conducted annually by Deep Customer Connections, Inc. 

Over a hundred years ago, a fire roared through the city of West Bend, WI. This tragedy was one of the worst for our community and touched the lives of many people. Because of that fire, our company was formed. And even then, we began to show that something good can come from something bad. 

Over time, people have come to expect this of us. To call with problems and leave with solutions. As time passes, things change. But not our reason for being. 

At the core of everything we do lies a simple premise. A sincere desire to help our customers through problems and adversity. To make sure that positives come from negative situations. To step up when you need us. To do the right thing. 

The worst brings out our best. ®
That's The Silver Lining. ®",1894,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675423f0e2cd6c00011f561c/picture
Kin Insurance,Kin Insurance,Cold,insurance,630,insurance,,http://www.kin.com,http://www.linkedin.com/company/kin-insurance,https://facebook.com/kinsured,https://twitter.com/kin,222 Merchandise Mart Plz,Chicago,Illinois,United States,60654-1000,"222 Merchandise Mart Plz, Chicago, Illinois, United States, 60654-1000","technology, insurance, homeowners insurance, condo insurance, insuretech, mobile insurance, flood insurance, home & property insurance, home insurance",'+1 855-717-0022,"Kin Insurance offers easy, affordable homeowners insurance designed for your needs. Call today at 855-717-0022 or get an online quote now!","Fastly CDN, Sendgrid, Gmail, Google Apps, CloudFlare, Salesforce, Segment.io, Freshdesk, HeapAnalytics, DoubleClick Floodlight, Trustpilot, Google Font API, YouTube, MediaMath, Mobile Friendly, AppNexus, Facebook Login (Connect), Facebook Custom Audiences, Google Dynamic Remarketing, Varnish, Bootstrap Framework, Bing Ads, DoubleClick, FullStory, Twitter Advertising, Google Tag Manager, Facebook Widget, Open AdStream (Appnexus), Customer.IO, DoubleClick Conversion, Ruby On Rails, Google AdWords Conversion, Google Maps, Remote, AI",773064909,Venture (Round not Specified),14999952,2024-01-01,227500000,1,675e5c8f78d7a801b0bcc2fe,7372,"Kin is on a mission to change home insurance from what it is to what it should be. Whether we're leveraging data to create customizable coverage or providing claims service that goes above and beyond expectations, our members are at the heart of everything we do. In the face of ever-growing climate risk, our members deserve an insurance company that cares about them. We aim to stick with them through thick and thin. 

We use efficient technology that lets homeowners buy directly from us to keep costs down. This is the essence of Kin.  Our approach has fostered amazing growth and attracted marquee investors, including QED Investors, Activate Capital, August Capital, Commerce Ventures, Hudson Structured Capital Management, Avanta Ventures, Geodesic, and Flourish.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675c499797dbf800019051c6/picture
Skyward Specialty Insurance,Skyward Specialty Insurance,Cold,insurance,530,insurance,,http://www.skywardinsurance.com,http://www.linkedin.com/company/skywardspecialty,,https://twitter.com/skywardinsuranc,800 Gessner Rd,Houston,Texas,United States,77024-8200,"800 Gessner Rd, Houston, Texas, United States, 77024-8200","construction, professional, accident, health, excess, surplus, specialty transportation, inland marine, energy, programs, captives, global property, global agriculture, allied healthcare",'+1 713-935-4800,Welcome to Skyward Specialty Insurance. Explore our specialized insurance solutions and how we help you rise above limitations and succeed.,"Cloudflare DNS, Outlook, Microsoft Office 365, iCIMS, WP Engine, Webflow, Google Font API, Shutterstock, Google Tag Manager, Vidyard, Mobile Friendly, Akamai RUM, Linkedin Login, Facebook Login (Connect), Facebook Widget, Nginx, New Relic, Microsoft-IIS, Google Analytics, reCAPTCHA, Hubspot, ON24, Linkedin Widget, WordPress.org, Remote, Basis, AI",436490000,Other,177300000,2024-05-01,1030428000,,675e5cbb78d7a801b0bcc34d,,"Skyward Specialty is a rapidly growing and innovative specialty insurance company, delivering commercial P&C products and solutions on a non-admitted and admitted basis. The Company operates through eight underwriting divisions –Accident & Health, Captives, Global Property & Agriculture, Industry Solutions, Professional Lines, Programs, Surety and Transactional E&S. Our insurance company subsidiaries are rated A (Excellent) with stable outlook from AM Best. 

At Skyward Specialty, we approach insurance differently. Our specialty insurance experts are empowered to dig deeper to customize solutions that help brokers and agents deliver impactful solutions to their clients. We operate at the complex end of the specialty market and leverage technology to bring disruptive, innovative insurance solutions to market. We are agile and steadfastly focused on our strategy to lead in the select markets in which we choose to do business. We call this our ""rule our niche""strategy.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675d626c7ee8660001aeee2c/picture
